student_number,registration_year,registration_num,full_name,program,birth_place,birth_date,gender,phone_number,nationality,religion,address,village,district,regency,city,province,mother_name,previous_school,national_student_id,last_status
243200001,2024,2400001,Raka Pratama,Information Technology,Pontianak,8/24/2006,Male,081256781234,Indonesian,Islam,Gajah Mada Street Block 4A,Benua Melayu Darat,Pontianak Selatan,Pontianak Regency,Pontianak,West Kalimantan,Siti Rahmawati,Northbridge High School,67823412,12
243100001,2024,2400002,Nadia Permatasari,Management,Pontianak,7/12/2004,Female,081357924681,Indonesian,Catholic Christianity,Danau Sentarum Street Block 8B,Pasiran,Singkawang Barat,Sambas Regency,Singkawang,West Kalimantan,Lilis Handayani,Riverside High School,54938217,12
243300001,2024,2400003,Fajar Maulana,Accounting,Semarang,9/23/2004,Male,082198765432,Indonesian,Islam,Setiabudi Street Block 12C,Srondol Wetan,Banyumanik,Semarang Regency,Semarang,Central Java,Nur Aini,Meridian High School,48217361,12
243400001,2024,2400004,Clara Maharani,Information Systems,Surabaya,8/15/2006,Female,083845612907,Indonesian,Protestant Christianity,Diponegoro Street Block 5A,Darmo,Wonokromo,Sidoarjo Regency,Surabaya,East Java,Yuliana Sari,Westfield High School,63148292,12
243200002,2024,2400006,Alya Safitri,Information Technology,Pontianak,6/25/2006,Female,082311450678,Indonesian,Islam,Sungai Raya Street Block 7A,Benua Melayu Darat,Pontianak Selatan,Kubu Raya Regency,Pontianak,West Kalimantan,Dewi Lestari,Lakeside High School,65217843,12
243100002,2024,2400007,Dimas Kurniawan,Management,Pontianak,9/14/2006,Male,085712340956,Indonesian,Islam,Sepakat Street Block 3C,Benua Melayu Darat,Pontianak Selatan,Kubu Raya Regency,Pontianak,West Kalimantan,Rina Marlina,Harborview High School,68742159,12
243400002,2024,2400008,Kevin Wijaya,Information Systems,Semarang,4/2/2004,Male,081945670321,Indonesian,Buddhism,Kaliurang Street Block 10A,Srondol Wetan,Banyumanik,Semarang Regency,Semarang,Central Java,Marlina Wijaya,Brighton High School,42756198,12
243300002,2024,2400009,Maya Anggraini,Accounting,Semarang,1/18/2005,Female,083812459760,Indonesian,Hinduism,Pandanaran Street Block 6B,Srondol Wetan,Banyumanik,Semarang Regency,Semarang,Central Java,Sri Wahyuni,Cedar Hill High School,51837426,12
243100003,2024,2400010,Rizky Haryanto,Management,Surabaya,7/19/2006,Male,082145670983,Indonesian,Islam,Merr Street Block 9C,Darmo,Wonokromo,Sidoarjo Regency,Surabaya,East Java,Endah Puspitasari,Oakridge High School,67412395,12
243200003,2024,2400011,Putri Amelia,Information Technology,Bandung,5/3/2005,Female,081398745612,Indonesian,Islam,Dago Street Block 11A,Dago,Coblong,Bandung Regency,Bandung,West Java,Lina Kartika,Summit High School,53178642,12
243400003,2024,2400012,Arman Nugraha,Information Systems,Bandung,8/21/2005,Male,085612309478,Indonesian,Protestant Christianity,Cihampelas Street Block 2B,Dago,Coblong,Bandung Regency,Bandung,West Java,Yuni Astuti,Pinecrest High School,56284137,12
243100004,2024,2400013,Nabila Fitria,Management,Yogyakarta,2/10/2006,Female,082267541903,Indonesian,Islam,Kaliurang Street Block 14A,Caturtunggal,Depok,Sleman Regency,Yogyakarta,Special Region of Yogyakarta,Erna Susanti,Maple High School,62847315,12
243300003,2024,2400014,Yoga Prasetyo,Accounting,Yogyakarta,6/27/2005,Male,081723456908,Indonesian,Catholic Christianity,Gejayan Street Block 5B,Caturtunggal,Depok,Sleman Regency,Yogyakarta,Special Region of Yogyakarta,Wulan Sari,Oakwood High School,57632184,12
243200004,2024,2400015,Made Aditya,Information Technology,Denpasar,9/11/2006,Male,083176450298,Indonesian,Hinduism,Sudirman Street Block 8C,Panjer,Denpasar Selatan,Badung Regency,Denpasar,Bali,Komang Sriani,Sunrise High School,64928173,12
243400004,2024,2400016,Ayu Laksmi,Information Systems,Denpasar,4/25/2005,Female,081254783619,Indonesian,Hinduism,Teuku Umar Street Block 16A,Panjer,Denpasar Selatan,Badung Regency,Denpasar,Bali,Ni Made Ratih,Coral Bay High School,58412763,12
243100005,2024,2400017,Samuel Pardede,Management,Medan,7/16/2006,Male,082167904532,Indonesian,Protestant Christianity,Iskandar Muda Street Block 7B,Padang Bulan,Medan Baru,Deli Serdang Regency,Medan,North Sumatra,Maria Sihombing,Evergreen High School,67318245,12
243300004,2024,2400018,Jessica Natalia,Accounting,Medan,3/29/2005,Female,085276413908,Indonesian,Catholic Christianity,Sisingamangaraja Street Block 18C,Padang Bulan,Medan Baru,Deli Serdang Regency,Medan,North Sumatra,Martha Simanjuntak,Lakeview High School,53927148,10
243200005,2024,2400019,Andi Ramadhan,Information Technology,Makassar,5/12/2005,Male,081934567205,Indonesian,Islam,Alauddin Street Block 4B,Banta-Bantaeng,Rappocini,Gowa Regency,Makassar,South Sulawesi,Hasnah Yusuf,Southgate High School,54178392,9
